country	urban	gdp	lifeexpm	lifeexpf	birthrate	deathrate	develop	radio	hospbed	docs
Burundi	8	200	51	55	46	14	1	9.09	19.42	.31
Ethiopia	11	130	50	53	45	15	1	18.18	2.58	.27
Kenya	26	385	60	64	44	8	1	16.67	13.57	1.37
Madagascar	22	200	51	55	47	15	1	12.50	17.64	.80
Malawi	15	200	48	51	52	18	1	23.26	15.95	.37
Mauritius	41	2300	66	74	19	6	1	23.81	27.47	8.94
Mozambique	19	120	46	49	46	17	1	3.45	8.15	.23
Rwanda	5	310	51	55	52	15	1	9.09	10.96	.22
Somalia	36	170	56	55	46	13	1	5.00	9.50	.52
Tanzania	32	260	50	55	50	16	1	16.67	8.45	.39
Uganda	11	300	50	52	51	15	1	19.61	12.24	.50
Zambia	49	380	55	59	48	11	1	7.14	32.15	1.19
Zimbabwe	25	660	60	64	41	8	1	5.56	22.08	1.44
Angola	29	950	43	47	46	19	1	4.55	11.83	.66
Cameroon	40	1010	55	60	44	11	1	16.67	26.53	.80
Central_African_Rep.	47	440	46	49	44	19	1	20.00	14.51	.58
Chad	32	190	39	41	42	22	1	23.26	7.00	.19
Congo	41	1070	52	56	43	13	1	10.64	21.93	2.58
Gabon	45	4400	51	56	28	15	1	20.00	46.30	2.65
Zaire	44	180	52	56	45	14	1	10.31	21.01	.43
Algeria	51	2130	66	68	31	7	1	25.00	25.45	9.42
Egypt	44	720	58	62	33	10	1	25.64	19.80	16.23
Libya	70	6800	66	71	36	6	1	25.00	35.84	12.99
Morocco	50	1060	63	67	30	8	1	18.52	10.43	2.27
Sudan	22	450	53	54	44	14	1	21.74	9.01	.77
Tunisia	49	1320	70	74	26	5	1	21.28	19.76	5.45
Botswana	25	2384	59	65	36	9	1	83.33	38.61	1.39
Lesotho	16	240	60	63	35	10	1	20.00	14.88	.64
Namibia	33	1400	58	63	45	10	0	17.24	60.24	2.25
Benin	20	400	49	52	49	16	1	7.14	13.35	.62
Burkina_Faso	8	205	52	53	50	16	1	2.27	7.36	.33
Liberia	46	440	54	59	45	13	1	22.73	15.02	1.18
Mali	25	265	43	47	51	21	1	1.89	5.27	.35
Mauritania	34	520	44	50	49	19	1	12.82	8.22	.98
Nigeria	35	230	48	50	46	17	1	8.33	8.76	1.45
Senegal	30	615	54	57	44	13	1	11.49	8.82	.59
Sierra_Leone	33	330	43	48	46	21	1	23.81	10.20	.76
Togo	25	400	54	58	48	12	1	20.00	13.30	.77
Cuba	72	1580	74	79	18	7	1	33.33	70.92	33.00
Dominican_Republic	60	950	66	70	27	7	1	16.67	6.63	10.71
Haiti	29	440	53	55	43	15	1	45.45	7.95	1.66
Jamaica	52	1400	72	76	24	6	1	38.46	21.37	1.69
Trinidad_Tobago	64	3600	68	73	21	6	1	32.26	31.45	6.48
Costa_Rica	50	1810	75	79	27	4	1	9.09	22.03	12.53
El_Salvador	45	1010	68	75	33	5	1	38.46	10.28	7.56
Honduras	40	960	64	68	38	7	1	41.67	12.18	6.31
Mexico	72	3200	69	76	29	5	1	19.61	7.70	16.67
Nicaragua	60	425	61	66	37	8	1	23.26	13.14	5.96
Panama	53	1150	73	77	26	5	1	40.00	30.30	11.36
Argentina	87	3100	67	74	20	9	1	100.00	66.67	30.67
Bolivia	51	690	59	64	34	19	1	55.56	14.58	4.71
Brazil	76	2540	62	68	26	7	1	40.00	35.09	14.62
Chile	84	2200	71	77	21	6	1	30.30	32.89	10.88
Equador	54	1070	67	72	28	6	1	29.41	16.39	11.00
Guyana	35	300	61	68	21	7	1	40.00	29.33	1.47
Paraguay	46	1460	71	74	33	5	1	18.52	10.74	9.92
Peru	70	920	63	67	28	8	1	19.23	16.00	10.03
Uruguay	86	2935	69	76	17	10	1	100.00	78.74	29.33
Venezuela	83	2590	71	78	28	4	1	41.67	27.03	17.36
Canada	77	19400	74	81	14	7	0	83.33	67.57	22.27
United_States	76	22470	72	79	14	9	0	200.00	50.51	24.75
China	27	360	69	72	22	7	1	10.99	23.36	15.48
Japan	77	19100	77	82	10	7	0	76.92	135.14	17.01
North_Korea	60	1035	66	72	24	6	1	16.67	135.14	27.03
South_Korea	74	6300	67	73	15	6	1	100.00	23.31	9.93
Mongolia	58	900	63	68	34	6	1	13.33	126.58	28.99
Cambodia	12	130	48	51	37	15	1	10.00	15.82	.37
Indonesia	31	630	59	64	26	8	1	12.50	6.73	1.35
Laos	19	200	49	52	44	16	1	11.11	27.10	1.54
Malaysia	38	2670	66	71	30	6	1	41.67	21.88	3.79
Myanmar	25	530	57	61	29	10	1	7.69	6.24	2.95
Singapore	100	13900	73	78	18	5	1	23.81	36.76	12.84
Thailand	20	1630	67	71	20	7	1	17.54	16.75	2.37
Vietnam	20	230	63	67	29	8	1	10.00	34.25	3.23
Afghanistan	18	220	45	43	44	20	1	9.09	4.87	2.08
Bangladesh	24	200	55	54	36	13	1	4.17	3.13	1.82
Bhutan	95	199	50	48	40	17	1	1.56	6.78	1.03
India	28	380	57	58	30	11	1	6.67	7.61	4.28
Iran	57	1500	64	66	44	10	1	21.28	15.31	3.47
Nepal	8	165	51	51	38	14	1	3.13	2.53	.51
Pakistan	32	380	56	57	43	14	1	7.69	5.86	4.23
Sri_Lanka	26	410	69	74	21	6	1	12.50	28.09	1.51
