"country" "urban" "gdp" "lifeexpm" "lifeexpf" "birthrate" "deathrate" "develop" "radio" "hospbed" "docs"
"1" "Burundi" 8 200 51 55 46 14 1 9.09 19.42 0.31
"2" "Ethiopia" 11 130 50 53 45 15 1 18.18 2.58 0.27
"3" "Kenya" 26 385 60 64 44 8 1 16.67 13.57 1.37
"4" "Madagascar" 22 200 51 55 47 15 1 12.5 17.64 0.8
"5" "Malawi" 15 200 48 51 52 18 1 23.26 15.95 0.37
"6" "Mauritius" 41 2300 66 74 19 6 1 23.81 27.47 8.94
"7" "Mozambique" 19 120 46 49 46 17 1 3.45 8.15 0.23
"8" "Rwanda" 5 310 51 55 52 15 1 9.09 10.96 0.22
"9" "Somalia" 36 170 56 55 46 13 1 5 9.5 0.52
"10" "Tanzania" 32 260 50 55 50 16 1 16.67 8.45 0.39
"11" "Uganda" 11 300 50 52 51 15 1 19.61 12.24 0.5
"12" "Zambia" 49 380 55 59 48 11 1 7.14 32.15 1.19
"13" "Zimbabwe" 25 660 60 64 41 8 1 5.56 22.08 1.44
"14" "Angola" 29 950 43 47 46 19 1 4.55 11.83 0.66
"15" "Cameroon" 40 1010 55 60 44 11 1 16.67 26.53 0.8
"16" "Central_African_Rep." 47 440 46 49 44 19 1 20 14.51 0.58
"17" "Chad" 32 190 39 41 42 22 1 23.26 7 0.19
"18" "Congo" 41 1070 52 56 43 13 1 10.64 21.93 2.58
"19" "Gabon" 45 4400 51 56 28 15 1 20 46.3 2.65
"20" "Zaire" 44 180 52 56 45 14 1 10.31 21.01 0.43
