Team	League	Size	Salary	Attendance	Wins	ERA	Batting	HR	Stolen	Errors
Boston	1	33871	99.9	2724.2	95	4.48	0.289	238	88	113
New_York_Yankees	1	57746	152.7	3465.6	101	4.02	0.271	230	98	114
Oakland	1	43662	50.3	2216.6	96	3.63	0.254	176	48	107
Baltimore	1	48262	73.9	2454.5	71	4.76	0.268	152	89	105
Anaheim	1	45050	79.0	3061.1	77	4.28	0.268	150	129	105
Cleveland	1	43368	48.6	1730.0	68	4.21	0.254	158	86	126
Chicago_White_Sox	1	44321	51.0	1939.5	86	4.17	0.263	220	77	93
Toronto	1	50516	51.3	1799.5	86	4.69	0.279	190	37	117
Minnesota	1	48678	55.5	1946.0	90	4.41	0.277	155	94	87
Tampa_Bay	1	44027	19.6	1058.7	63	4.93	0.265	137	142	103
Texas	1	52000	103.5	2094.4	71	5.67	0.266	239	65	94
Detroit	1	40000	49.2	1368.2	43	5.3	0.240	153	98	138
Seattle	1	45611	87.0	3268.5	93	3.76	0.271	139	108	65
Kansas_City	1	40529	40.5	1779.9	83	5.05	0.274	162	120	108
Atlanta	0	50062	106.2	2401.1	101	4.1	0.284	235	68	121
Arizona	0	49075	80.7	2805.5	84	3.84	0.263	152	76	107
Houston	0	42000	71.0	2454.2	87	3.86	0.263	191	66	95
Cincinnati	0	52953	59.4	2355.3	69	5.09	0.245	182	80	141
New_York_Mets	0	55775	117.2	2140.6	66	4.48	0.247	124	70	118
Pittsburgh	0	38127	54.8	1636.8	75	4.64	0.267	163	86	123
Los_Angeles	0	56000	105.9	3138.6	85	3.16	0.243	124	80	119
San_Diego	0	53166	45.2	2030.1	64	4.87	0.261	128	76	102
Montreal	0	46500	51.9	1025.6	83	4.01	0.258	144	100	102
San_Francisco	0	40800	82.9	3264.9	100	3.73	0.264	180	53	80
St_Louis	0	49625	83.8	2910.4	85	4.6	0.279	196	82	77
Florida	0	42531	48.8	1303.2	91	4.04	0.266	157	150	78
Philadelphia	0	62411	70.8	2259.9	86	4.04	0.261	166	72	97
Milwaukee	0	42400	40.6	1700.4	68	5.02	0.256	196	99	114
Chicago_Cubs	0	38957	79.9	2962.6	88	3.83	0.259	172	73	106
Colorado	0	50381	67.2	2334.1	74	5.2	0.267	198	63	116
